Nome_IMG;Latitude;;;Lat_decimal;Longitude;;;Lon_decimal;Alt (m);X (m);Y (m);Z (m);Roll;Pitch;Yaw;
DJI_0221.JPG;22;33;5.465 ;22.55151806 ;46;56;40.769 ;46.94465806 ;99.9 ;130.597 ;417.503 ;-0.1;0.0 ;-90.0 ;-171.0;
DJI_0222.JPG;22;33;4.467 ;22.55124083 ;46;56;40.613 ;46.94461472 ;99.9 ;125.782 ;386.698 ;-0.1;0.0 ;-90.0 ;-171.1;
DJI_0223.JPG;22;33;3.445 ;22.55095694 ;46;56;40.459 ;46.94457194 ;99.8 ;121.028 ;355.152 ;-0.2;0.0 ;-90.0 ;-171.1;
DJI_0224.JPG;22;33;2.388 ;22.55066333 ;46;56;40.300 ;46.94452778 ;99.8 ;116.120 ;322.526 ;-0.2;0.0 ;-90.0 ;-171.1;
DJI_0225.JPG;22;33;1.395 ;22.55038750 ;46;56;40.151 ;46.94448639 ;99.9 ;111.521 ;291.875 ;-0.1;0.0 ;-90.0 ;-171.1;
DJI_0226.JPG;22;33;0.401 ;22.55011139 ;46;56;40.001 ;46.94444472 ;99.9 ;106.891 ;261.194 ;-0.1;0.0 ;-90.0 ;-171.1;
DJI_0227.JPG;22;32;59.441 ;22.54984472 ;46;56;39.854 ;46.94440389 ;99.9 ;102.354 ;231.562 ;-0.1;0.0 ;-90.0 ;-171.0;
DJI_0228.JPG;22;32;58.452 ;22.54957000 ;46;56;39.706 ;46.94436278 ;100.0 ;97.786 ;201.035 ;0;0.0 ;-90.0 ;-171.0;
DJI_0229.JPG;22;32;57.782 ;22.54938389 ;46;56;39.602 ;46.94433389 ;99.9 ;94.575 ;180.354 ;-0.1;0.0 ;-90.0 ;-171.0;
DJI_0230.JPG;22;32;56.717 ;22.54908806 ;46;56;39.439 ;46.94428861 ;99.9 ;89.544 ;147.481 ;-0.1;0.0 ;-90.0 ;-171.0;
DJI_0231.JPG;22;32;55.761 ;22.54882250 ;46;56;39.294 ;46.94424833 ;99.8 ;85.069 ;117.972 ;-0.2;0.0 ;-90.0 ;-171.0;
DJI_0232.JPG;22;32;54.704 ;22.54852889 ;46;56;39.136 ;46.94420444 ;99.8 ;80.192 ;85.346 ;-0.2;0.0 ;-90.0 ;-171.0;
DJI_0233.JPG;22;32;53.709 ;22.54825250 ;46;56;38.981 ;46.94416139 ;100.0 ;75.407 ;54.634 ;0;0.0 ;-90.0 ;-170.9;
DJI_0234.JPG;22;32;52.750 ;22.54798611 ;46;56;38.837 ;46.94412139 ;100.0 ;70.962 ;25.033 ;0;0.0 ;-90.0 ;-170.9;
DJI_0235.JPG;22;32;52.112 ;22.54780889 ;46;56;38.740 ;46.94409444 ;100.0 ;67.968 ;5.340 ;0;0.0 ;-90.0 ;-170.9;
DJI_0236.JPG;22;32;51.335 ;22.54759306 ;46;56;38.612 ;46.94405889 ;99.9 ;64.017 ;-18.643 ;-0.1;0.0 ;-90.0 ;-171.1;
DJI_0237.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.7;
DJI_0238.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0239.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0240.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.2;
DJI_0241.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.2;
DJI_0242.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.1;
DJI_0243.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0244.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0245.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0246.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0247.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-89.9 ;-170.9;
DJI_0248.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0249.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0250.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0251.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0252.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0253.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0254.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0255.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0256.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0257.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0258.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0259.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0260.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0261.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.7;
DJI_0262.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
DJI_0263.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.8;
DJI_0264.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.5;
DJI_0265.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.4;
DJI_0266.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.7;
DJI_0267.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0268.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.3;
DJI_0269.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.3;
DJI_0270.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.3;
DJI_0271.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.3;
DJI_0272.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.2;
DJI_0273.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.2;
DJI_0274.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.2;
DJI_0275.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.1;
DJI_0276.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.1;
DJI_0277.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.1;
DJI_0278.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.1;
DJI_0279.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0280.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0281.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0282.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0283.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0284.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0285.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0286.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-171.0;
DJI_0287.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0288.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.9;
DJI_0289.JPG;;;;0.00000000 ;;;;0.00000000 ;;-5216359.806 ;-2505507.184 ;-100;0.0 ;-90.0 ;-170.8;
