DJI_0186.JPG;	46;	56;	36.499;	22;	32;	51.642;	100.4;	0;	-90;	-174.0;
DJI_0187.JPG;	46;	56;	36.538;	22;	32;	51.939;	100.5;	0;	-90;	-170.8;
DJI_0188.JPG;	46;	56;	36.682;	22;	32;	52.882;	100.5;	0;	-90;	-170.5;
DJI_0189.JPG;	46;	56;	36.833;	22;	32;	53.851;	100.3;	0;	-90;	-170.5;
DJI_0190.JPG;	46;	56;	36.988;	22;	32;	54.873;	100.4;	0;	-90;	-170.4;
DJI_0191.JPG;	46;	56;	37.146;	22;	32;	55.926;	100.4;	0;	-89.9;	-170.4;
DJI_0192.JPG;	46;	56;	37.252;	22;	32;	56.630;	100.4;	0;	-90;	-170.3;
DJI_0193.JPG;	46;	56;	37.411;	22;	32;	57.687;	100.3;	0;	-90;	-170.3;
DJI_0194.JPG;	46;	56;	37.587;	22;	32;	58.806;	100.4;	0;	-90;	-170.4;
DJI_0195.JPG;	46;	56;	37.686;	22;	32;	59.479;	100.3;	0;	-90;	-170.3;
DJI_0196.JPG;	46;	56;	37.840;	22;	33;	0.470;	100.3;	0;	-90;	-170.4;
DJI_0197.JPG;	46;	56;	38.000;	22;	33;	1.518;	100.4;	0;	-90;	-170.4;
DJI_0198.JPG;	46;	56;	38.157;	22;	33;	2.577;	100.4;	0;	-90;	-170.3;
DJI_0199.JPG;	46;	56;	38.265;	22;	33;	3.281;	100.1;	0;	-90;	-170.3;
DJI_0200.JPG;	46;	56;	38.426;	22;	33;	4.336;	100.1;	0;	-90;	-170.2;
DJI_0222.JPG;	46;	56;	40.613;	22;	33;	4.467;	99.9;	0;	-90;	-171.1;
DJI_0223.JPG;	46;	56;	40.459;	22;	33;	3.445;	99.8;	0;	-90;	-171.1;
DJI_0224.JPG;	46;	56;	40.3;	22;	33;	2.388;	99.8;	0;	-90;	-171.1;
DJI_0225.JPG;	46;	56;	40.151;	22;	33;	1.395;	99.9;	0;	-90;	-171.1;
DJI_0226.JPG;	46;	56;	40.001;	22;	33;	0.401;	99.9;	0;	-90;	-171.1;
DJI_0227.JPG;	46;	56;	39.854;	22;	32;	59.441;	99.9;	0;	-90;	-171.0;
DJI_0228.JPG;	46;	56;	39.706;	22;	32;	58.452;	100.0;	0;	-90;	-171.0;
DJI_0229.JPG;	46;	56;	39.602;	22;	32;	57.782;	99.9;	0;	-90;	-171.0;
DJI_0230.JPG;	46;	56;	39.439;	22;	32;	56.717;	99.9;	0;	-90;	-171.0;
DJI_0231.JPG;	46;	56;	39.294;	22;	32;	55.761;	99.8;	0;	-90;	-171.0;
DJI_0232.JPG;	46;	56;	39.136;	22;	32;	54.704;	99.8;	0;	-90;	-171.0;
DJI_0233.JPG;	46;	56;	38.981;	22;	32;	53.709;	100.0;	0;	-90;	-170.9;
DJI_0234.JPG;	46;	56;	38.837;	22;	32;	52.750;	100.0;	0;	-90;	-170.9;
DJI_0235.JPG;	46;	56;	38.740;	22;	32;	52.112;	100.0;	0;	-90;	-170.9;
DJI_0236.JPG;	46;	56;	38.612;	22;	32;	51.335;	99.9;	0;	-90;	-171.1;
